name,year_start,height,weight,college,pos,age,per,team,conf
Alaa Abdelnaby,1991,208.28,108.86207999999999,Duke University,PF,22.0,13.1,POR,West
Zaid Abdul-Aziz,1969,205.74,106.59412,Iowa State University,C,22.0,12.3,TOT,N/A
Kareem Abdul-Jabbar,1970,218.44,102.0582,"University of California, Los Angeles",C,22.0,22.5,MIL,East
Mahmoud Abdul-Rauf,1991,185.42000000000002,73.481904,Louisiana State University,PG,21.0,12.2,DEN,West
Tariq Abdul-Wahad,1998,198.12,101.151016,San Jose State University,SG,23.0,10.1,SAC,West
Shareef Abdur-Rahim,1997,205.74,102.0582,University of California,PF,20.0,17.4,VAN,West
Tom Abernethy,1977,200.66,99.79024,Indiana University,SF,22.0,12.7,LAL,West
Forest Able,1957,190.5,81.64656,Western Kentucky University,G,24.0,-41.1,SYR,East
Alex Acker,2006,195.58,83.91452,Pepperdine University,SG,23.0,-2.4,DET,East
Don Ackerman,1954,182.88,83.007336,Long Island University,PG,23.0,1.0,NYK,East
Mark Acres,1988,210.82,99.79024,Oral Roberts University,C,25.0,9.3,BOS,East
Bud Acton,1968,198.12,95.25431999999999,Hillsdale College,SF,26.0,9.5,SDR,West
Quincy Acy,2013,200.66,108.86207999999999,Baylor University,PF,22.0,15.9,TOR,East
Alvan Adams,1976,205.74,95.25431999999999,University of Oklahoma,C,21.0,21.7,PHO,West
Don Adams,1971,198.12,95.25431999999999,Northwestern University,SF,23.0,10.8,SDR,West
Hassan Adams,2007,193.04,99.79024,University of Arizona,SG,22.0,13.0,NJN,East
Jordan Adams,2015,195.58,94.80072799999999,"University of California, Los Angeles",SG,20.0,12.8,MEM,West
Michael Adams,1986,177.8,73.481904,Boston College,PG,23.0,8.0,SAC,West
Steven Adams,2014,213.36,115.66596,University of Pittsburgh,C,20.0,11.2,OKC,West
Rafael Addison,1987,200.66,97.52228,Syracuse University,SF,22.0,11.9,PHO,West
Rick Adelman,1969,185.42000000000002,79.3786,Loyola Marymount University,PG,22.0,11.4,SDR,West
Jeff Adrien,2011,200.66,111.13004,University of Connecticut,PF,24.0,11.3,GSW,West
Arron Afflalo,2008,195.58,95.25431999999999,"University of California, Los Angeles",SG,22.0,10.2,DET,East
Maurice Ager,2007,195.58,91.625584,Michigan State University,SG,22.0,2.9,DAL,West
Mark Aguirre,1982,198.12,105.233344,DePaul University,SF,22.0,17.3,DAL,West
Blake Ahearn,2008,187.96,86.18248,Missouri State University,PG,23.0,9.0,MIA,West
Danny Ainge,1982,193.04,79.3786,Brigham Young University,SG,22.0,10.1,BOS,East
Henry Akin,1967,208.28,102.0582,Morehead State University,PF,22.0,8.5,NYK,East
Josh Akognon,2013,180.34,83.91452,"California State University, Fullerton",PG,26.0,15.3,DAL,West
Solomon Alabi,2011,215.9,113.851592,Florida State University,C,22.0,2.0,TOR,East
Mark Alarie,1987,203.2,98.429464,Duke University,PF,23.0,12.5,DEN,West
Gary Alcorn,1960,205.74,102.0582,"California State University, Fresno",C,23.0,7.6,DET,East
Cole Aldrich,2011,210.82,113.398,University of Kansas,C,22.0,7.0,OKC,West
LaMarcus Aldridge,2007,210.82,117.93392,University of Texas at Austin,C,21.0,17.1,POR,West
Chuck Aleksinas,1985,210.82,117.93392,University of Connecticut,C,25.0,9.1,GSW,West
Cliff Alexander,2016,203.2,111.13004,University of Kansas,PF,20.0,11.6,POR,West
Cory Alexander,1996,185.42000000000002,83.91452,University of Virginia,PG,22.0,8.7,SAS,West
Courtney Alexander,2001,195.58,92.98636,"California State University, Fresno",PG,23.0,11.6,TOT,N/A
Gary Alexander,1994,200.66,108.86207999999999,University of South Florida,PF,24.0,8.6,TOT,N/A
Joe Alexander,2009,203.2,104.32616,West Virginia University,SF,22.0,10.1,MIL,East
Victor Alexander,1992,205.74,120.20188,Iowa State University,C,22.0,13.9,GSW,West
Steve Alford,1988,187.96,83.007336,Indiana University,PG,23.0,11.6,DAL,West
Bob Allen,1969,205.74,92.98636,Marshall University,PF,22.0,6.8,SFW,West
Jerome Allen,1996,193.04,83.460928,University of Pennsylvania,SG,23.0,7.8,MIN,West
Lavoy Allen,2012,205.74,117.93392,Temple University,PF,22.0,12.7,PHI,East
Lucius Allen,1970,187.96,79.3786,"University of California, Los Angeles",PG,22.0,13.7,SEA,West
Malik Allen,2002,208.28,115.66596,Villanova University,PF,23.0,15.0,MIA,West
Randy Allen,1989,203.2,99.79024,Florida State University,SG,24.0,6.9,SAC,West
Ray Allen,1997,195.58,92.98636,University of Connecticut,SG,21.0,14.6,MIL,East
Tony Allen,2005,193.04,96.615096,Oklahoma State University,SG,23.0,14.7,BOS,East
Odis Allison,1972,198.12,88.45044,"University of Nevada, Las Vegas",SF,22.0,4.7,GSW,West
Lance Allred,2008,210.82,113.398,Weber State University,C,26.0,-1.0,CLE,East
Darrell Allums,1981,205.74,99.79024,"University of California, Los Angeles",PF,22.0,5.3,DAL,West
Morris Almond,2008,198.12,102.0582,Rice University,SG,22.0,2.0,UTA,West
Derrick Alston,1995,210.82,102.0582,Duquesne University,C,22.0,11.6,PHI,East
Rafer Alston,2000,187.96,77.564232,"California State University, Fresno",PG,23.0,4.3,MIL,East
Peter Aluma,1999,208.28,117.93392,Liberty University,C,25.0,3.1,SAC,West
John Amaechi,1996,208.28,122.46984,Pennsylvania State University,PF,25.0,3.1,CLE,East
Ashraf Amaya,1996,203.2,104.32616,Southern Illinois University,PF,24.0,11.8,VAN,West
